credit.policy,revol.util,fico,inq.last.6mths,purpose
True,3.7,792,0,home_improvement
True,16.6,762,1,debt_consolidation
True,3.7,797,0,home_improvement
True,39.5,672,0,credit_card
True,42.2,692,0,debt_consolidation
True,81.9,662,3,all_other
True,77.5,722,1,debt_consolidation
True,77.3,712,1,credit_card
True,6.5,687,1,debt_consolidation
True,0.0,772,1,all_other
True,0.3,812,0,debt_consolidation
True,56.4,667,1,small_business
True,86.1,692,0,educational
True,45.8,747,0,credit_card
True,2.4,707,1,small_business
True,81.0,677,3,debt_consolidation
True,69.1,667,0,debt_consolidation
True,63.9,692,0,credit_card
True,62.9,667,3,debt_consolidation
True,16.0,782,0,all_other
True,35.0,687,1,all_other
True,95.7,682,0,debt_consolidation
True,30.5,692,3,home_improvement
True,0.0,742,3,all_other
True,19.2,797,1,all_other
True,44.0,707,0,debt_consolidation
True,97.8,697,0,all_other
True,54.7,662,2,small_business
True,12.0,667,3,small_business
True,60.4,697,3,small_business
True,24.6,767,2,all_other
True,91.6,662,1,debt_consolidation
True,44.7,752,0,credit_card
True,29.9,742,0,all_other
True,41.9,702,1,all_other
True,68.9,742,0,debt_consolidation
True,76.6,677,2,credit_card
True,51.5,662,3,educational
True,50.4,682,1,debt_consolidation
True,33.4,707,0,all_other
True,3.0,687,2,all_other
True,40.4,707,1,educational
True,62.0,707,1,all_other
True,10.0,732,2,small_business
True,17.1,772,0,all_other
True,38.0,737,1,all_other
True,23.2,717,0,credit_card
True,54.3,707,0,debt_consolidation
True,33.8,692,0,debt_consolidation
True,0.0,737,3,all_other
True,81.8,672,0,debt_consolidation
True,0.5,822,0,small_business
True,50.1,727,2,debt_consolidation
True,96.5,687,0,all_other
True,4.5,672,1,debt_consolidation
True,39.9,692,2,small_business
True,4.5,797,1,all_other
True,74.7,722,3,debt_consolidation
True,71.2,767,2,all_other
True,74.3,667,1,debt_consolidation
True,22.1,732,1,home_improvement
True,44.5,697,3,debt_consolidation
True,80.2,712,2,home_improvement
True,19.0,737,1,educational
True,61.3,672,1,all_other
True,79.0,682,1,debt_consolidation
True,82.9,727,0,credit_card
True,61.9,632,1,all_other
True,18.5,747,2,educational
True,25.5,752,0,all_other
True,83.2,682,0,all_other
True,1.2,812,0,home_improvement
True,89.5,677,1,credit_card
True,75.5,682,0,all_other
True,54.5,692,2,debt_consolidation
True,7.3,767,0,educational
True,68.7,687,0,debt_consolidation
True,94.7,702,0,credit_card
True,71.7,687,0,all_other
True,87.9,682,2,debt_consolidation
True,30.4,757,0,credit_card
True,23.2,667,1,educational
True,5.6,777,3,debt_consolidation
True,6.8,767,0,debt_consolidation
True,6.6,782,5,small_business
True,12.6,747,0,credit_card
True,82.3,677,0,credit_card
True,96.5,687,0,debt_consolidation
True,51.6,687,1,debt_consolidation
True,0.3,812,0,debt_consolidation
True,65.6,687,3,educational
True,23.8,712,1,small_business
True,68.5,682,2,credit_card
True,85.3,682,2,all_other
True,0.0,722,0,all_other
True,73.7,697,1,credit_card
True,5.0,757,0,all_other
True,4.2,677,1,all_other
True,57.7,682,1,debt_consolidation
True,29.6,757,5,major_purchase
True,8.9,787,3,debt_consolidation
True,75.8,667,0,debt_consolidation
True,23.8,692,1,all_other
True,33.7,702,0,debt_consolidation
True,98.6,702,3,all_other
True,40.0,757,2,debt_consolidation
True,49.0,712,1,debt_consolidation
True,81.4,682,1,debt_consolidation
True,39.2,702,1,debt_consolidation
True,60.5,712,0,small_business
True,43.0,707,0,credit_card
True,48.1,747,2,debt_consolidation
True,61.2,707,0,credit_card
True,0.2,697,2,small_business
True,55.1,697,2,all_other
True,4.8,682,0,major_purchase
True,25.3,722,0,all_other
True,71.9,702,1,debt_consolidation
True,72.6,662,1,credit_card
True,0.0,707,2,small_business
True,9.5,777,0,small_business
True,30.0,697,0,home_improvement
True,7.3,717,2,major_purchase
True,91.7,672,2,debt_consolidation
True,45.3,682,0,credit_card
True,9.9,697,3,home_improvement
True,97.7,707,0,debt_consolidation
True,75.8,667,1,all_other
True,43.7,712,0,all_other
True,80.6,662,3,debt_consolidation
True,44.0,692,1,all_other
True,33.2,697,2,all_other
True,33.7,692,0,debt_consolidation
True,69.5,677,2,debt_consolidation
True,61.5,682,3,small_business
True,0.0,772,0,major_purchase
True,90.7,697,1,credit_card
True,48.0,772,0,major_purchase
True,93.5,662,2,debt_consolidation
True,43.9,672,0,debt_consolidation
True,94.6,672,3,debt_consolidation
True,12.1,767,4,small_business
True,43.2,692,1,debt_consolidation
True,21.8,692,0,small_business
True,12.1,752,0,all_other
True,55.4,687,2,all_other
True,91.3,677,0,credit_card
True,4.5,737,1,debt_consolidation
True,48.9,667,3,debt_consolidation
True,47.5,732,1,educational
True,53.8,667,2,all_other
True,72.3,662,0,debt_consolidation
True,39.5,722,0,debt_consolidation
True,92.6,667,0,all_other
True,0.0,712,0,debt_consolidation
True,12.7,742,4,debt_consolidation
True,93.6,687,0,credit_card
True,6.6,772,0,home_improvement
True,0.1,762,5,small_business
True,6.6,727,2,all_other
True,26.0,702,2,debt_consolidation
True,29.3,697,1,debt_consolidation
True,52.3,672,2,home_improvement
True,3.8,792,1,all_other
True,18.6,722,0,credit_card
True,34.4,662,0,debt_consolidation
True,86.6,667,0,credit_card
True,26.2,712,0,debt_consolidation
True,75.2,677,2,small_business
True,0.0,767,1,credit_card
True,5.0,767,1,all_other
True,55.8,742,1,all_other
True,43.6,687,2,home_improvement
True,30.8,687,3,credit_card
True,96.3,672,0,debt_consolidation
True,53.7,702,3,debt_consolidation
True,63.0,667,3,all_other
True,63.0,712,0,debt_consolidation
True,45.2,707,2,debt_consolidation
True,65.2,742,2,small_business
True,39.5,682,2,major_purchase
True,55.8,742,1,debt_consolidation
True,41.6,717,0,debt_consolidation
True,73.3,667,0,debt_consolidation
True,77.3,662,0,all_other
True,8.2,747,2,debt_consolidation
True,51.1,707,3,debt_consolidation
True,14.5,742,0,debt_consolidation
True,21.7,792,0,all_other
True,13.0,717,0,all_other
True,9.8,732,1,home_improvement
True,4.0,797,0,all_other
True,28.7,727,2,debt_consolidation
True,25.5,707,0,debt_consolidation
True,85.5,702,2,credit_card
True,85.5,702,2,all_other
True,45.8,722,1,all_other
True,0.0,672,1,debt_consolidation
True,48.3,737,0,credit_card
True,85.9,717,3,small_business
True,34.2,697,1,debt_consolidation
True,9.4,762,5,all_other
True,1.1,687,1,all_other
True,80.6,692,1,all_other
True,4.8,772,0,home_improvement
True,37.2,662,3,debt_consolidation
True,3.2,662,1,debt_consolidation
True,47.4,712,0,credit_card
True,18.3,662,1,small_business
True,0.0,737,1,educational
True,97.8,662,3,credit_card
True,14.2,727,2,major_purchase
True,1.1,807,1,all_other
True,92.7,687,0,credit_card
True,44.1,662,1,debt_consolidation
True,56.2,752,2,debt_consolidation
True,0.0,672,0,all_other
True,89.6,702,0,debt_consolidation
True,21.7,752,1,debt_consolidation
True,86.1,677,2,credit_card
True,82.5,667,0,debt_consolidation
True,13.6,682,1,small_business
True,35.3,732,0,debt_consolidation
True,28.4,662,3,debt_consolidation
True,50.6,757,1,credit_card
True,7.5,777,1,all_other
True,0.0,662,2,all_other
True,5.4,767,1,all_other
True,62.0,722,1,all_other
True,87.1,702,0,debt_consolidation
True,29.5,762,1,all_other
True,15.5,702,2,home_improvement
True,27.6,692,3,debt_consolidation
True,44.2,677,1,all_other
True,45.5,762,5,all_other
True,40.7,762,4,debt_consolidation
True,30.6,742,0,major_purchase
True,79.8,677,0,debt_consolidation
True,80.2,667,3,small_business
True,41.1,722,1,credit_card
True,0.0,692,0,all_other
True,26.6,727,0,debt_consolidation
True,65.7,687,0,credit_card
True,69.5,667,0,all_other
True,90.6,667,0,all_other
True,8.2,767,0,all_other
True,95.1,687,0,all_other
True,40.4,742,0,credit_card
True,68.5,677,0,debt_consolidation
True,12.4,742,0,debt_consolidation
True,9.4,767,0,debt_consolidation
True,0.0,702,0,debt_consolidation
True,47.1,682,0,credit_card
True,42.4,682,1,debt_consolidation
True,33.8,677,0,all_other
True,63.0,677,0,debt_consolidation
True,95.0,667,0,debt_consolidation
True,14.3,777,6,small_business
True,39.0,712,0,debt_consolidation
True,19.4,767,0,all_other
True,50.7,662,0,debt_consolidation
True,75.1,692,0,all_other
True,49.4,697,0,major_purchase
True,0.4,732,0,credit_card
True,33.3,717,1,all_other
True,72.7,677,0,debt_consolidation
True,0.0,807,1,all_other
True,13.7,757,1,major_purchase
True,64.4,667,0,debt_consolidation
True,60.7,692,0,small_business
True,66.3,697,1,debt_consolidation
True,20.4,722,1,debt_consolidation
True,93.4,662,3,small_business
True,91.0,677,3,debt_consolidation
True,28.6,742,4,all_other
True,64.0,697,0,credit_card
True,38.6,682,0,all_other
True,52.1,667,2,debt_consolidation
True,42.3,677,2,debt_consolidation
True,12.1,787,0,major_purchase
True,0.2,692,2,all_other
True,33.0,702,0,debt_consolidation
True,48.6,727,1,all_other
True,63.4,687,1,all_other
True,6.4,672,1,debt_consolidation
True,38.1,662,1,debt_consolidation
True,34.4,677,3,debt_consolidation
True,42.4,727,0,debt_consolidation
True,19.0,772,0,all_other
True,89.3,662,0,small_business
True,88.8,682,1,debt_consolidation
True,30.8,697,0,credit_card
True,40.3,742,1,credit_card
True,37.9,747,0,debt_consolidation
True,0.0,732,0,all_other
True,16.5,732,0,debt_consolidation
True,77.3,662,0,debt_consolidation
True,50.5,687,1,small_business
True,39.4,722,0,debt_consolidation
True,42.1,732,2,debt_consolidation
True,13.7,742,6,credit_card
True,98.8,677,1,debt_consolidation
True,93.8,682,0,debt_consolidation
True,70.0,702,1,debt_consolidation
True,95.1,692,0,all_other
True,0.0,702,0,all_other
True,56.6,677,1,debt_consolidation
True,48.7,677,1,debt_consolidation
True,0.0,702,2,home_improvement
True,53.4,697,2,debt_consolidation
True,75.6,662,2,all_other
True,73.7,697,1,credit_card
True,81.0,697,1,small_business
True,18.0,782,1,small_business
True,11.0,747,1,debt_consolidation
True,51.4,757,0,debt_consolidation
True,1.9,797,0,credit_card
True,71.8,692,2,debt_consolidation
True,10.3,702,2,credit_card
True,39.4,697,1,debt_consolidation
True,0.0,682,1,debt_consolidation
True,98.0,692,0,credit_card
True,97.8,722,0,debt_consolidation
True,37.1,692,0,credit_card
True,80.0,682,1,credit_card
True,80.3,702,0,debt_consolidation
True,8.7,792,0,debt_consolidation
True,89.8,692,0,all_other
True,2.6,782,1,educational
True,14.4,757,6,small_business
True,77.0,727,2,home_improvement
True,37.2,687,0,home_improvement
True,76.4,692,0,debt_consolidation
True,89.6,682,1,debt_consolidation
True,71.7,667,0,debt_consolidation
True,48.6,697,1,debt_consolidation
True,10.8,722,1,debt_consolidation
True,20.7,767,3,debt_consolidation
True,31.9,722,0,debt_consolidation
True,1.2,792,2,small_business
True,2.3,747,1,debt_consolidation
True,12.1,772,4,all_other
True,65.1,672,1,credit_card
True,83.6,672,2,debt_consolidation
True,12.8,727,1,all_other
True,67.3,682,3,home_improvement
True,5.3,757,0,home_improvement
True,2.1,772,1,all_other
True,30.1,712,0,all_other
True,60.7,692,0,debt_consolidation
True,34.5,687,3,debt_consolidation
True,50.7,732,0,credit_card
True,11.1,762,0,debt_consolidation
True,15.9,732,0,credit_card
True,21.0,727,3,major_purchase
True,23.2,717,2,debt_consolidation
True,94.2,732,0,debt_consolidation
True,87.2,667,3,debt_consolidation
True,10.2,802,0,credit_card
True,18.6,767,8,all_other
True,42.4,697,3,debt_consolidation
True,48.0,707,1,debt_consolidation
True,37.1,717,0,debt_consolidation
True,54.3,707,0,debt_consolidation
True,36.8,697,3,debt_consolidation
True,28.7,727,0,all_other
True,88.4,692,1,debt_consolidation
True,54.8,742,5,debt_consolidation
True,31.1,722,1,debt_consolidation
True,39.6,752,0,credit_card
True,81.8,672,1,debt_consolidation
True,73.7,692,0,debt_consolidation
True,0.7,787,0,all_other
True,56.4,672,1,debt_consolidation
True,0.0,722,0,all_other
True,11.6,737,0,small_business
True,3.7,682,2,all_other
True,7.6,767,3,small_business
True,90.6,702,3,debt_consolidation
True,40.4,702,0,all_other
True,16.3,792,1,all_other
True,31.6,762,0,debt_consolidation
True,16.3,727,2,debt_consolidation
True,52.9,722,3,credit_card
True,31.0,702,0,debt_consolidation
True,0.0,707,2,all_other
True,15.1,682,2,all_other
True,35.3,722,0,debt_consolidation
True,48.6,717,2,debt_consolidation
True,0.3,707,0,debt_consolidation
True,29.8,777,0,debt_consolidation
True,24.0,737,0,credit_card
True,70.5,677,2,debt_consolidation
True,39.2,712,0,home_improvement
True,63.8,697,1,all_other
True,45.5,672,0,debt_consolidation
True,8.2,777,1,credit_card
True,8.2,777,1,credit_card
True,10.5,737,1,all_other
True,35.9,767,0,credit_card
True,65.3,667,1,debt_consolidation
True,26.6,737,1,debt_consolidation
True,83.8,672,0,credit_card
True,55.4,742,1,debt_consolidation
True,92.4,707,0,all_other
True,7.8,742,4,all_other
True,48.5,707,2,educational
True,15.6,732,3,debt_consolidation
True,17.6,767,0,debt_consolidation
True,93.9,687,2,debt_consolidation
True,52.4,717,1,all_other
True,34.2,672,0,debt_consolidation
True,2.8,802,0,all_other
True,60.0,712,1,credit_card
True,8.7,762,8,small_business
True,3.5,762,0,small_business
True,0.0,687,1,debt_consolidation
True,60.3,682,0,debt_consolidation
True,32.8,707,2,all_other
True,83.4,707,1,debt_consolidation
True,53.5,777,3,small_business
True,8.1,712,0,small_business
True,47.1,667,2,debt_consolidation
True,84.5,707,0,debt_consolidation
True,3.2,762,2,home_improvement
True,45.9,762,1,debt_consolidation
True,24.7,677,3,debt_consolidation
True,3.7,772,0,debt_consolidation
True,78.7,662,2,debt_consolidation
True,1.5,792,0,small_business
True,24.3,722,1,educational
True,33.5,697,1,small_business
True,59.3,702,0,all_other
True,11.3,717,2,small_business
True,54.7,687,0,debt_consolidation
True,39.1,742,0,debt_consolidation
True,84.9,707,0,credit_card
True,45.7,717,1,debt_consolidation
True,34.0,672,0,all_other
True,90.5,662,0,debt_consolidation
True,0.0,727,0,all_other
True,53.6,692,2,home_improvement
True,70.3,692,0,all_other
True,42.4,682,1,all_other
True,91.8,667,1,credit_card
True,17.0,672,2,debt_consolidation
True,66.7,677,3,home_improvement
True,47.9,667,1,debt_consolidation
True,14.5,742,2,credit_card
True,9.2,802,0,small_business
True,33.1,722,0,credit_card
True,7.9,762,0,debt_consolidation
True,72.7,702,0,all_other
True,28.2,732,0,debt_consolidation
True,32.6,757,3,debt_consolidation
True,62.8,697,3,small_business
True,8.3,727,0,credit_card
True,28.4,707,2,all_other
True,93.1,677,1,debt_consolidation
True,77.0,672,0,debt_consolidation
True,25.4,742,3,debt_consolidation
True,58.6,702,0,debt_consolidation
True,86.8,662,0,debt_consolidation
True,21.5,712,0,credit_card
True,27.3,717,1,home_improvement
True,46.7,672,0,debt_consolidation
True,59.7,687,0,debt_consolidation
True,44.7,702,0,credit_card
True,78.0,677,1,debt_consolidation
True,0.3,717,0,debt_consolidation
True,66.7,702,0,debt_consolidation
True,32.3,722,1,debt_consolidation
True,91.3,687,0,small_business
True,77.9,722,1,debt_consolidation
True,0.0,777,0,all_other
True,98.4,717,0,home_improvement
True,82.3,662,1,credit_card
True,64.1,697,0,debt_consolidation
True,63.0,722,0,debt_consolidation
True,39.8,727,1,debt_consolidation
True,5.8,782,3,debt_consolidation
True,31.0,752,2,debt_consolidation
True,63.9,662,1,debt_consolidation
True,25.3,707,0,debt_consolidation
True,45.5,742,2,debt_consolidation
True,73.1,662,2,small_business
True,27.1,767,1,debt_consolidation
True,40.6,707,1,debt_consolidation
True,63.3,727,3,credit_card
True,70.9,687,0,debt_consolidation
True,45.7,712,3,home_improvement
True,71.4,692,0,debt_consolidation
True,23.4,742,0,debt_consolidation
True,88.0,662,2,debt_consolidation
True,55.0,732,0,small_business
True,5.2,742,3,major_purchase
True,74.3,662,1,debt_consolidation
True,62.6,717,1,debt_consolidation
True,56.0,737,1,credit_card
True,0.0,787,0,all_other
True,3.3,717,2,home_improvement
True,75.3,687,0,debt_consolidation
True,46.2,732,0,major_purchase
True,95.7,687,1,debt_consolidation
True,63.7,682,2,debt_consolidation
True,70.8,687,0,debt_consolidation
True,0.6,767,0,all_other
True,2.9,777,1,home_improvement
True,45.5,697,1,debt_consolidation
True,43.8,707,2,all_other
True,43.3,707,1,debt_consolidation
True,44.1,742,0,home_improvement
True,93.2,672,0,debt_consolidation
True,14.8,762,1,debt_consolidation
True,56.7,667,1,debt_consolidation
True,98.3,667,0,debt_consolidation
True,40.1,727,0,debt_consolidation
True,84.5,697,2,debt_consolidation
True,46.5,682,3,all_other
True,16.1,717,3,major_purchase
True,89.6,667,0,debt_consolidation
True,32.9,717,1,all_other
True,33.4,662,0,debt_consolidation
True,54.1,687,2,all_other
True,43.1,702,2,debt_consolidation
True,0.8,762,3,all_other
True,67.7,742,0,all_other
True,49.1,682,1,debt_consolidation
True,52.0,662,1,debt_consolidation
True,7.1,762,0,home_improvement
True,80.7,682,0,debt_consolidation
True,94.2,692,1,debt_consolidation
True,25.1,712,1,home_improvement
True,54.1,667,0,major_purchase
True,41.7,717,0,credit_card
True,0.0,787,2,home_improvement
True,92.4,687,1,debt_consolidation
True,41.5,732,0,debt_consolidation
True,1.7,797,1,home_improvement
True,66.0,662,1,all_other
True,86.5,697,0,debt_consolidation
True,27.3,742,1,all_other
True,71.7,662,1,debt_consolidation
True,0.0,717,2,debt_consolidation
True,66.8,682,0,debt_consolidation
True,33.3,737,2,all_other
True,95.1,677,2,debt_consolidation
True,59.8,692,1,debt_consolidation
True,44.3,732,3,all_other
True,43.6,687,0,debt_consolidation
True,51.8,672,1,debt_consolidation
True,17.7,722,1,debt_consolidation
True,54.2,672,3,debt_consolidation
True,84.1,697,0,debt_consolidation
True,20.0,712,1,home_improvement
True,70.2,682,1,home_improvement
True,48.7,712,2,all_other
True,78.5,667,1,debt_consolidation
True,25.4,722,3,credit_card
True,33.1,712,0,major_purchase
True,44.8,682,2,debt_consolidation
True,71.4,672,0,debt_consolidation
True,90.6,662,1,debt_consolidation
True,2.3,807,1,debt_consolidation
True,71.3,667,0,debt_consolidation
True,72.0,682,1,all_other
True,63.0,682,1,debt_consolidation
True,42.0,692,1,credit_card
True,43.6,727,0,debt_consolidation
True,11.3,757,0,home_improvement
True,26.2,702,0,debt_consolidation
True,65.8,672,0,debt_consolidation
True,62.9,682,0,credit_card
True,60.9,687,0,debt_consolidation
True,56.1,702,0,debt_consolidation
True,8.9,717,1,debt_consolidation
True,57.9,672,1,credit_card
True,39.4,687,0,home_improvement
True,0.2,797,0,all_other
True,47.7,667,0,debt_consolidation
True,46.2,707,0,debt_consolidation
True,58.0,702,0,debt_consolidation
True,30.1,697,2,all_other
True,82.9,692,0,debt_consolidation
True,34.9,692,1,all_other
True,34.1,717,1,debt_consolidation
True,35.0,667,0,debt_consolidation
True,0.0,792,1,all_other
True,77.7,742,0,credit_card
True,44.8,687,1,all_other
True,38.6,687,1,debt_consolidation
True,3.0,727,1,all_other
True,69.2,707,0,educational
True,50.0,717,0,all_other
True,8.1,687,0,debt_consolidation
True,23.0,752,1,credit_card
True,56.4,667,0,debt_consolidation
True,30.2,752,2,credit_card
True,30.6,717,0,debt_consolidation
True,77.0,662,0,all_other
True,39.0,692,2,debt_consolidation
True,13.1,667,3,debt_consolidation
True,52.6,712,1,debt_consolidation
True,9.9,742,1,all_other
True,71.2,712,1,debt_consolidation
True,61.5,667,0,debt_consolidation
True,66.0,677,2,debt_consolidation
True,39.3,692,0,educational
True,15.3,792,0,debt_consolidation
True,54.9,662,3,all_other
True,57.9,667,0,major_purchase
True,66.8,702,1,debt_consolidation
True,0.0,762,1,all_other
True,88.8,682,2,debt_consolidation
True,33.5,727,3,debt_consolidation
True,26.2,732,0,debt_consolidation
True,0.0,772,0,all_other
True,26.9,702,1,all_other
True,39.7,697,0,credit_card
True,82.8,702,1,debt_consolidation
True,68.1,667,0,debt_consolidation
True,80.0,682,3,major_purchase
True,0.0,672,0,all_other
True,34.6,687,1,all_other
True,64.0,672,2,all_other
True,45.6,717,0,credit_card
True,7.9,802,0,all_other
True,17.1,742,4,all_other
True,6.5,747,3,debt_consolidation
True,61.7,717,3,all_other
True,66.8,707,1,debt_consolidation
True,39.0,682,2,all_other
True,35.7,722,1,credit_card
True,59.0,667,2,credit_card
True,32.3,722,0,educational
True,64.4,697,0,all_other
True,60.5,677,2,debt_consolidation
True,17.4,712,0,all_other
True,34.6,752,2,debt_consolidation
True,11.3,792,0,all_other
True,7.1,717,1,all_other
True,70.9,677,3,debt_consolidation
True,33.1,677,1,credit_card
True,67.7,732,1,all_other
True,6.9,702,1,credit_card
True,24.3,737,0,debt_consolidation
True,31.1,682,0,major_purchase
True,0.0,737,2,all_other
True,81.6,662,0,all_other
True,18.8,782,0,credit_card
True,38.8,677,2,debt_consolidation
True,38.6,707,3,all_other
True,96.3,677,0,debt_consolidation
True,70.0,687,0,credit_card
True,78.7,697,0,debt_consolidation
True,46.6,762,0,credit_card
True,80.7,682,3,debt_consolidation
True,14.3,717,0,educational
True,7.8,727,0,all_other
True,39.4,687,1,credit_card
True,55.4,662,0,debt_consolidation
True,53.4,722,1,credit_card
True,6.5,747,3,debt_consolidation
True,0.0,767,1,all_other
True,26.7,727,2,debt_consolidation
True,46.8,697,0,debt_consolidation
True,47.8,692,1,debt_consolidation
True,16.4,742,0,debt_consolidation
True,30.2,757,0,credit_card
True,26.6,717,0,credit_card
True,24.0,712,0,debt_consolidation
True,60.5,737,3,home_improvement
True,0.0,772,3,all_other
True,22.4,757,1,debt_consolidation
True,5.3,732,3,home_improvement
True,77.9,687,0,debt_consolidation
True,52.7,697,3,credit_card
True,8.9,757,2,all_other
True,53.0,677,1,all_other
True,56.7,672,1,debt_consolidation
True,0.2,792,0,all_other
True,64.5,697,2,credit_card
True,18.4,707,3,debt_consolidation
True,53.8,732,0,debt_consolidation
True,28.1,772,0,debt_consolidation
True,37.2,717,2,debt_consolidation
True,12.8,792,1,home_improvement
True,44.8,702,1,debt_consolidation
True,63.0,712,3,debt_consolidation
True,55.1,672,0,debt_consolidation
True,27.7,672,1,credit_card
True,13.4,697,2,debt_consolidation
True,66.7,682,1,debt_consolidation
True,3.1,742,0,debt_consolidation
True,55.9,677,3,debt_consolidation
True,14.1,762,1,all_other
True,10.9,747,0,debt_consolidation
True,83.7,712,3,debt_consolidation
True,88.4,687,0,debt_consolidation
True,32.3,712,2,credit_card
True,49.4,682,0,educational
True,99.1,722,2,debt_consolidation
True,4.7,737,0,educational
True,28.8,707,1,all_other
True,8.4,797,0,educational
True,1.9,762,1,major_purchase
True,49.7,687,2,all_other
True,63.2,757,0,credit_card
True,49.9,662,3,all_other
True,61.2,742,3,all_other
True,10.5,757,0,all_other
True,28.4,692,0,all_other
True,62.2,692,0,all_other
True,64.3,687,0,credit_card
True,0.2,742,2,credit_card
True,28.6,727,3,all_other
True,38.4,667,0,debt_consolidation
True,81.1,682,0,credit_card
True,47.3,667,2,debt_consolidation
True,34.4,717,0,debt_consolidation
True,52.7,712,1,debt_consolidation
True,7.3,777,1,major_purchase
True,60.4,672,1,debt_consolidation
True,19.2,722,1,all_other
True,65.4,702,1,credit_card
True,11.2,717,2,debt_consolidation
True,0.3,777,0,all_other
True,3.8,817,0,major_purchase
True,65.6,687,1,home_improvement
True,7.2,732,0,credit_card
True,96.3,667,2,educational
True,46.7,702,3,debt_consolidation
True,66.7,687,3,credit_card
True,33.3,777,0,all_other
True,95.7,697,0,credit_card
True,96.6,682,0,debt_consolidation
True,66.7,682,1,debt_consolidation
True,69.0,717,1,debt_consolidation
True,16.7,752,0,all_other
True,83.1,687,0,debt_consolidation
True,64.3,672,0,all_other
True,70.8,672,0,debt_consolidation
True,71.9,682,1,credit_card
True,44.3,692,2,debt_consolidation
True,0.0,662,3,debt_consolidation
True,26.3,762,0,debt_consolidation
True,22.0,702,0,credit_card
True,56.5,692,0,debt_consolidation
True,16.9,762,1,all_other
True,64.6,682,1,credit_card
True,26.0,722,0,debt_consolidation
True,18.7,717,2,credit_card
True,1.9,767,1,home_improvement
True,59.5,727,0,credit_card
True,53.2,662,1,debt_consolidation
True,76.8,687,0,debt_consolidation
True,93.5,687,1,debt_consolidation
True,92.4,687,1,debt_consolidation
True,89.7,692,1,debt_consolidation
True,57.0,697,0,credit_card
True,88.7,722,1,all_other
True,61.4,667,1,debt_consolidation
True,67.7,672,3,debt_consolidation
True,44.1,727,2,debt_consolidation
True,90.2,717,1,credit_card
True,66.6,692,0,all_other
True,59.5,692,0,credit_card
